wd:Q16535469	wd:Q151957	Lena Tablemount	guyot
wd:Q16535473	wd:Q151957	Ob Tablemount	guyot
wd:Q603531	wd:Q104698	Chile Rise	mid-ocean ridge
wd:Q3952519	wd:Q184358	Beall Reefs	reef
wd:Q7687394	wd:Q119253	Tasman Fracture	oceanic trench
wd:Q2917979	wd:Q184358	Restinga Alí	reef
wd:Q656364	wd:Q119253	Philippine Trench	oceanic trench
wd:Q2399512	wd:Q184358	Lekrevet	reef
wd:Q3037261	wd:Q104698	Carlsberg Ridge	mid-ocean ridge
wd:Q1980619	wd:Q119253	$null$	oceanic trench
wd:Q190604	wd:Q104698	Central Indian Ridge	mid-ocean ridge
wd:Q2535125	wd:Q184358	Vuata Ono	reef
wd:Q539355	wd:Q158454	Arrecife Alacrán	biosphere reserve
wd:Q2212569	wd:Q184358	Hindersö-Fröskan	reef
wd:Q938818	wd:Q184358	Chaussée de Sein	reef
wd:Q2915909	wd:Q184358	Ra's Sudr	reef
wd:Q2256025	wd:Q184358	Besser Rev	reef
wd:Q1541665	wd:Q184358	Ningaloo Reef	reef
wd:Q3391882	wd:Q184358	Plateau de Cordouan	reef
wd:Q1240906	wd:Q184358	Rowley Shoals	reef
wd:Q1528132	wd:Q184358	Siwash Rock	reef
wd:Q5225585	wd:Q184358	Dart Reefs	reef
wd:Q5018044	wd:Q184358	Cakaulevu Reef	reef
wd:Q5274973	wd:Q184358	Mariveles Reef	reef
wd:Q4178062	wd:Q184358	Supply Reef	reef
wd:Q691567	wd:Q184358	Les Dirouilles	reef
wd:Q4857957	wd:Q184358	Bar Reef	reef
wd:Q843543	wd:Q184358	Hau Tsz Kok Pai	reef
wd:Q2482148	wd:Q184358	Vidvästern	reef
wd:Q5566687	wd:Q184358	Glaronísi	reef
wd:Q856697	wd:Q184358	Spiess Rocks	reef
wd:Q2410477	wd:Q184358	The Coral Patches	reef
wd:Q2405955	wd:Q184358	Louisa Reef	reef
wd:Q6725948	wd:Q184358	Petley Reef	reef
wd:Q2597480	wd:Q184358	Malkallen	reef
wd:Q5181724	wd:Q184358	Craigmaroinn	reef
wd:Q3756109	wd:Q184358	Che Lei Pai	reef
wd:Q2882024	wd:Q184358	Banc du Geyser	reef
wd:Q1435852	wd:Q184358	Minquiers	reef
wd:Q1138750	wd:Q184358	Minerva Reefs	reef
wd:Q1569253	wd:Q184358	Ardasier Reef	reef
wd:Q1230579	wd:Q184358	Scott Reef	reef
wd:Q2904690	wd:Q184358	Bishops and Clerks	reef
wd:Q5877399	wd:Q184358	Hogsty Reef	reef
wd:Q4878702	wd:Q184358	Beckfoot	reef
wd:Q445786	wd:Q184358	Apo Reef	reef
wd:Q1471415	wd:Q184358	Rock of Famine	reef
wd:Q4778861	wd:Q184358	Ap Tau Pai	reef
wd:Q808894	wd:Q184358	Barrett Reef	reef
wd:Q997169	wd:Q184358	Dallas Reef	reef
wd:Q851603	wd:Q184358	Beveridge Reef	reef
wd:Q5191865	wd:Q184358	Cuarteron Reef	reef
wd:Q312813	wd:Q184358	Lindsay Reef	reef
wd:Q312842	wd:Q184358	Wakefield Reef	reef
wd:Q313002	wd:Q184358	Low Reef	reef
wd:Q313012	wd:Q184358	Nansen Reef	reef
wd:Q856660	wd:Q184358	Sachse Rocks	reef
wd:Q1150068	wd:Q184358	Subi Reef	reef
wd:Q2602133	wd:Q184358	Vuladdore Reef	reef
wd:Q1864020	wd:Q184358	Fjuksökallarna	reef
wd:Q5053601	wd:Q184358	Cato Reef	reef
wd:Q2906582	wd:Q184358	Bligh Reef	reef
wd:Q393946	wd:Q184358	Shag Point	reef
wd:Q3454563	wd:Q184358	Colvocoresses Reef	reef
wd:Q2891647	wd:Q184358	Batt Reef	reef
wd:Q312796	wd:Q184358	Armstrong Reef	reef
wd:Q312832	wd:Q184358	Morrell Reef	reef
wd:Q312888	wd:Q184358	Bloor Reef	reef
wd:Q3212697	wd:Q184358	La Saline	reef
wd:Q5192023	wd:Q184358	Cuban Ledge	reef
wd:Q2611158	wd:Q184358	Germandösten	reef
wd:Q6646978	wd:Q184358	Bamford Reef	reef
wd:Q6775366	wd:Q184358	Ross Reef	reef
wd:Q883825	wd:Q184358	Blenheim Reef	reef
wd:Q2488413	wd:Q184358	Ajaxarna	reef
wd:Q312836	wd:Q184358	Outer Moraine Reef	reef
wd:Q312882	wd:Q184358	Hauge Reef	reef
wd:Q1044677	wd:Q184358	Carondelet Reef	reef
wd:Q312890	wd:Q184358	Storer Reef	reef
wd:Q312914	wd:Q184358	Active Reef	reef
wd:Q312962	wd:Q184358	Hammerstad Reef	reef
wd:Q313271	wd:Q184358	Ryan Reef	reef
wd:Q313268	wd:Q184358	Semla Reef	reef
wd:Q2225741	wd:Q184358	Getskärsstenen	reef
wd:Q6807351	wd:Q184358	Kugui Reef	reef
wd:Q2855580	wd:Q184358	Linneagrundet	reef
wd:Q805680	wd:Q184358	Kriegers Flak	reef
wd:Q5363416	wd:Q184358	Elizabeth Reef	reef
wd:Q6389491	wd:Q184358	Kenn Reefs	reef
wd:Q1333272	wd:Q184358	Elphinstone Reef	reef
wd:Q4778859	wd:Q184358	Ap Lo Chun	reef
wd:Q3772508	wd:Q184358	Glover's Reef	reef
wd:Q5498608	wd:Q184358	Frederick Reefs	reef
wd:Q2055490	wd:Q184358	Fårögrundet	reef
wd:Q5687211	wd:Q184358	Hays Reef	reef
wd:Q1920786	wd:Q184358	Vettarna	reef
wd:Q1340302	wd:Q184358	Endeavour Reef	reef
wd:Q5647107	wd:Q184358	Hand Deeps	reef
wd:Q3952519	wd:Q184358	Beall Reefs	reef
wd:Q6656493	wd:Q184358	Collins reef	reef
wd:Q2917979	wd:Q184358	Restinga Alí	reef
wd:Q1927337	wd:Q184358	Johnson South Reef	reef
wd:Q2399512	wd:Q184358	Lekrevet	reef
wd:Q933185	wd:Q184358	U Thant Island	reef
wd:Q6704789	wd:Q184358	McKennan Reef	reef
wd:Q539355	wd:Q184358	Arrecife Alacrán	reef
wd:Q6386444	wd:Q184358	Kelp Bank	reef
wd:Q2212569	wd:Q184358	Hindersö-Fröskan	reef
wd:Q7533390	wd:Q184358	Siyyân H̱imâr	reef
wd:Q15208418	wd:Q184358	Centissima Reef	reef
wd:Q20922849	wd:Q184358	Sikka il-Munxar	reef
wd:Q6817743	wd:Q184358	Meola Reef	reef
wd:Q20926039	wd:Q184358	Qit‘at Jarādah	reef
wd:Q20926085	wd:Q184358	Ra’s Dawārin	reef
wd:Q20926101	wd:Q184358	Jādam	reef
wd:Q6821860	wd:Q184358	Hallet Reef	reef
wd:Q11722044	wd:Q184358	Whitsum Reef	reef
wd:Q7055227	wd:Q184358	North East Reef	reef
wd:Q7056469	wd:Q184358	North Reef	reef
wd:Q6825636	wd:Q184358	South Reef	reef
wd:Q12717289	wd:Q184358	Norris Reef	reef
wd:Q15894218	wd:Q184358	Cha Yue Pai	reef
wd:Q10911930	wd:Q184358	North Danger Reefs	reef
wd:Q7851132	wd:Q184358	Tucks Reef	reef
wd:Q11838760	wd:Q184358	Jærens Rev	reef
wd:Q6857825	wd:Q184358	Hughes Reef	reef
wd:Q6858383	wd:Q184358	Mill Reef Club	reef
wd:Q14221722	wd:Q184358	Thomas Reef	reef
wd:Q6869397	wd:Q184358	Minots Ledge	reef
wd:Q10870295	wd:Q184358	Dongxin Shazhou	reef
wd:Q7571841	wd:Q184358	Sow and Pigs Reef	reef
wd:Q16488836	wd:Q184358	Hope Reef	reef
wd:Q20926089	wd:Q184358	$null$	reef
wd:Q7620011	wd:Q184358	Storflaket	reef
wd:Q6849762	wd:Q184358	Edmund Reef	reef
wd:Q15940391	wd:Q184358	Thitu Reef	reef
