c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
sweet:phenEnvirImpact/CoralBleaching	coral bleaching	wd:Q568916	coral bleaching	sweet:phenEnvirImpact/OceanEnvironmentalImpact	ocean environmental impact	wd:Q2996394	biological process	high		coral bleaching		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenEnvirImpact/Desertification	desertification	wd:Q183481	desertification	sweet:phenEnvirImpact/LandEnvironmentalImpact	land environmental impact	wd:Q1334780	dupe: environmental degradation	high		desertification		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenEnvirImpact/LandDegradation	land degradation	wd:Q59137954	Land Degradation	sweet:phenEnvirImpact/LandEnvironmentalImpact	land environmental impact	wd:Q3331189	version, edition, or translation	high		land degradation		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenFluidTransport/Advection	advection	wd:Q379788	advection	sweet:phen/Phenomena	phenomena	wd:Q1293220	physical phenomenon	high		advection		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenFluidTransport/Buoyancy	buoyancy	wd:Q6497624	buoyancy	sweet:phen/Phenomena	phenomena	wd:Q1293220	physical phenomenon	high		buoyancy		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenGeol/WilsonCycle	wilson cycle	wd:Q35706922	Wilson cycle	sweet:phenGeol/RockCycle	rock cycle	wd:Q193946	scientific model	high		wilson cycle		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenGeolFault/Dextral	dextral	wd:Q19968251	dextral	sweet:phenGeolTectonic/TectonicProcess	tectonic process	wd:Q79782	motion	high		dextral		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenGeolFault/Sinistral	sinistral	wd:Q19968237	sinistral	sweet:phenGeolTectonic/TectonicProcess	tectonic process	wd:Q79782	motion	high		sinistral		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenGeolSeismicity/PrimaryWave	primary wave	wd:Q61061127	Primary Wave			wd:Q20739124	entertainment company	high		primary wave		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenGeolVolcano/VolcanicEruption	volcanic eruption	wd:Q7692360	volcanic eruption	sweet:phenGeolVolcano/VolcanicActivity|sweet:phenReaction/Eruption	volcanic activity|eruption			high		volcanic eruption		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenGeolVolcano/Volcanism	volcanism	wd:Q505748	volcanism	sweet:phenGeol/GeologicalPhenomena	geological phenomena			high		volcanism		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenHelio/BowShock	bow shock	wd:Q48930	bow shock	sweet:phenHelio/BowShockCrossing	bow shock crossing	wd:Q15401756	astrophysical process	high		bow shock		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenOceanDynamics/LoopCurrent	loop current	wd:Q377116	Loop Current	sweet:phenOceanDynamics/OceanCurrent	ocean current	wd:Q129558	ocean current	high		loop current		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenOceanDynamics/OceanGyre	ocean gyre	wd:Q1250263	ocean gyre	sweet:phenFluidDynamics/Gyre|sweet:phenOcean/OceanPhenomena	gyre|ocean phenomena			high		ocean gyre		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenOceanDynamics/Upwelling	upwelling	wd:Q215915	upwelling	sweet:phenOceanDynamics/OceanCirculation	ocean circulation	wd:Q1322005	natural phenomenon	high		upwelling		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenStar/CoronalHole	coronal hole	wd:Q127948	coronal hole	sweet:phenStar/CoronalPhenomena	coronal phenomena	wd:Q1322005	natural phenomenon	high		coronal hole		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenStar/CoronalRain	coronal rain	wd:Q5172175	Coronal Rain	sweet:phenStar/CoronalPhenomena	coronal phenomena	wd:Q483247	phenomenon	high		coronal rain		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenSystem/Oscillation	oscillation	wd:Q170475	oscillation	sweet:phenSystem/SystemStateChange	system state change			high		oscillation		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenSystemComplexity/SystemDynamics	system dynamics	wd:Q598451	system dynamics	sweet:phenSystem/SystemPhenomena	system phenomena	wd:Q1936384|wd:Q486902	area of mathematics|mathematical model	high		system dynamics		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenWave/KelvinWave	kelvin wave	wd:Q1738426	Kelvin wave	sweet:phenWave/GravityWave	gravity wave	wd:Q16332653	meteorological phenomenon	high		kelvin wave		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenWave/LongitudinalWave	longitudinal wave	wd:Q626707	longitudinal wave	sweet:phenWave/Wave	wave			high		longitudinal wave		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenWave/RossbyWave	rossby wave	wd:Q1053589	Rossby wave	sweet:phenWave/InertialWave	inertial wave	wd:Q4080565	progressive wave	high		rossby wave		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:phenWave/StandingWave	standing wave	wd:Q123300	standing wave	sweet:phenWave/Wave	wave			high		standing wave		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:procChemical/ChemicalProcess	chemical process	wd:Q2281940	chemical process	sweet:proc/Process	process			high		chemical process		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:procChemical/Hydrolysis	hydrolysis	wd:Q33059497	hydrolysis	sweet:procChemical/ChemicalProcess	chemical process	wd:Q1969448	term	high		hydrolysis		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:procChemical/Sorption	sorption	wd:Q898533	sorption			wd:Q2281940	chemical process	high		sorption		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:procPhysical/CoriolisEffect	coriolis effect	wd:Q169973	Coriolis effect			wd:Q11402	force	high		coriolis effect		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:procPhysical/DifferentialRotation	differential rotation	wd:Q59122	differential rotation	sweet:procPhysical/Rotation	rotation	wd:Q483247	phenomenon	high		differential rotation		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:procPhysical/PhysicalProcess	physical process	wd:Q17320256	physical process	sweet:proc/Process	process			high		physical process		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:procPhysical/Sputtering	sputtering	wd:Q898444	Sputtering	sweet:procPhysical/PhysicalProcess	physical process	wd:Q17320256	physical process	high		sputtering		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:procStateChange/Boiling	boiling	wd:Q20074315	boiling	sweet:procStateChange/Vaporization	vaporization	wd:Q1039303	cooking method	high		boiling		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:procWave/ElectromagneticRadiation	electromagnetic radiation	wd:Q12969754	electromagnetic radiation	sweet:phenWave/Wave|sweet:procPhysical/PhysicalProcess	wave|physical process			high		electromagnetic radiation		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:procWave/ElectromagneticWave	electromagnetic wave	wd:Q11386	electromagnetic wave					high		electromagnetic wave		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:prop/ChemicalProperty	chemical property	wd:Q764285	chemical property	sweet:prop/Property	property			high		chemical property		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:prop/PhysicalProperty	physical property	wd:Q4373292	physical property	sweet:prop/Property	property			high		physical property		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCapacity/CoefficientOfThermalExpansion	coefficient of thermal expansion	wd:Q45760	Coefficient of thermal expansion	sweet:propMass/MaterialProperty|sweet:propQuantity/ThermodynamicQuantity	material property|thermodynamic quantity	wd:Q3523867	material property	high		coefficient of thermal expansion		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCapacity/MolarHeatCapacity	molar heat capacity	wd:Q2937190	molar heat capacity	sweet:propCapacity/Capacity|sweet:propQuantity/ThermodynamicQuantity	capacity|thermodynamic quantity	wd:Q107715	physical quantity	high		molar heat capacity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCapacity/SpecificHeatCapacity	specific heat capacity	wd:Q487756	specific heat capacity			wd:Q3523867	material property	high		specific heat capacity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCapacity/VolumetricHeatCapacity	volumetric heat capacity	wd:Q900661	volumetric heat capacity	sweet:propCapacity/Capacity|sweet:propQuantity/ThermodynamicQuantity	capacity|thermodynamic quantity	wd:Q3523867	material property	high		volumetric heat capacity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCategorical/StandardIndustrialClassification	standard industrial classification	wd:Q1760251	Standard Industrial Classification	sweet:propCategorical/Industry	industry	wd:Q2976602	industry classification	high		standard industrial classification		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCharge/Capacitance	capacitance	wd:Q164399	capacitance	sweet:propQuantity/ElectromagneticQuantity	electromagnetic quantity	wd:Q181175	scalar physical quantity	high		capacitance		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCharge/ElectricCharge	electric charge	wd:Q1111	electric charge	sweet:propQuantity/ElectromagneticQuantity	electromagnetic quantity	wd:Q181175|wd:Q3386703	scalar physical quantity|extensive physical quantity	high		electric charge		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCharge/ElectricCurrentDensity	electric current density	wd:Q234072	electric current density	sweet:propQuantity/ElectromagneticQuantity	electromagnetic quantity	wd:Q2672914|wd:Q3386703	vector physical quantity|extensive physical quantity	high		electric current density		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCharge/ElectricDipoleMoment	electric dipole moment	wd:Q735135	electric dipole moment	sweet:propQuantity/ElectromagneticQuantity|sweet:propQuantity/VectorQuantity	electromagnetic quantity|vector quantity	wd:Q2672914	vector physical quantity	high		electric dipole moment		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCharge/ElectricFieldStrength	electric field strength	wd:Q20989	electric field strength	sweet:propQuantity/ElectromagneticQuantity	electromagnetic quantity	wd:Q107715|wd:Q3387041	physical quantity|intensive quantity	high		electric field strength		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCharge/ElectricPotential	electric potential	wd:Q55451	electric potential	sweet:propQuantity/ScalarPotential	scalar potential	wd:Q181175|wd:Q3387041	scalar physical quantity|intensive quantity	high		electric potential		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCharge/MagneticFieldStrength	magnetic field strength	wd:Q28123	magnetic field strength	sweet:propQuantity/ElectromagneticQuantity	electromagnetic quantity	wd:Q1365197|wd:Q2672914|wd:Q3387041	field strength|vector physical quantity|intensive quantity	high		magnetic field strength		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCharge/MagneticMoment	magnetic moment	wd:Q242657	magnetic moment	sweet:propQuantity/ElectromagneticQuantity|sweet:propQuantity/VectorQuantity	electromagnetic quantity|vector quantity	wd:Q3386703	extensive physical quantity	high		magnetic moment		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCharge/Permittivity	permittivity	wd:Q211569	permittivity	sweet:propQuantity/ElectromagneticQuantity	electromagnetic quantity	wd:Q107715	physical quantity	high		permittivity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propChemical/Solubility	solubility	wd:Q170731	solubility	sweet:prop/ReactionProperty	reaction property	wd:Q1969448	term	high		solubility		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propConductivity/ElectricalConductivity	electrical conductivity	wd:Q4593291	electrical conductivity	sweet:propConductivity/Conductivity|sweet:propQuantity/ElectromagneticQuantity	conductivity|electromagnetic quantity	wd:Q3387041|wd:Q3523867	intensive quantity|material property	high		electrical conductivity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propConductivity/HydraulicConductivity	hydraulic conductivity	wd:Q2783041	hydraulic conductivity	sweet:propConductivity/Conductivity|sweet:propMass/ConsistenceProperty	conductivity|consistence property	wd:Q4373292	physical property	high		hydraulic conductivity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propCount/NumberDensity	number density	wd:Q176449	number density	sweet:propQuantity/Quantity	quantity	wd:Q3387041	intensive quantity	high		number density		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDiffusivity/KinematicViscosity	kinematic viscosity	wd:Q15106259	kinematic viscosity	sweet:propDiffusivity/DiffusivityQuantity	diffusivity quantity	wd:Q107715|wd:Q5725005	physical quantity|mechanical property of materials	high		kinematic viscosity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDiffusivity/ThermalDiffusivity	thermal diffusivity	wd:Q3381809	thermal diffusivity	sweet:propDiffusivity/Diffusivity|sweet:propQuantity/ThermodynamicQuantity	diffusivity|thermodynamic quantity	wd:Q107715|wd:Q3523867	physical quantity|material property	high		thermal diffusivity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDimensionlessRatio/BulkRichardsonNumber	bulk richardson number	wd:Q1004118	Bulk Richardson number	sweet:propDimensionlessRatio/DimensionlessRatio	dimensionless ratio	wd:Q20707835|wd:Q7250271	dimensionless number in fluid mechanics|criterion of similarity	high		bulk richardson number		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDimensionlessRatio/DragCoefficient	drag coefficient	wd:Q1778961	drag coefficient	sweet:prop/FluidProperty|sweet:propDimensionlessRatio/DimensionlessRatio	fluid property|dimensionless ratio	wd:Q9051300	dimensionless number	high		drag coefficient		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDimensionlessRatio/FroudeNumber	froude number	wd:Q273090	Froude number	sweet:propDimensionlessRatio/DimensionlessRatio	dimensionless ratio	wd:Q20707835|wd:Q7250271	dimensionless number in fluid mechanics|criterion of similarity	high		froude number		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDimensionlessRatio/LeafAreaIndex	leaf area index	wd:Q446746	leaf area index	sweet:propDimensionlessRatio/DimensionlessRatio	dimensionless ratio	wd:Q47574	unit of measurement	high		leaf area index		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDimensionlessRatio/RefractiveIndex	refractive index	wd:Q174102	refractive index	sweet:propDimensionlessRatio/DimensionlessRatio|sweet:propQuantity/ElectromagneticQuantity	dimensionless ratio|electromagnetic quantity	wd:Q107715|wd:Q1738991	physical quantity|index number	high		refractive index		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDimensionlessRatio/ReynoldsNumber	reynolds number	wd:Q178932	Reynolds number	sweet:prop/FluidProperty|sweet:propDimensionlessRatio/DimensionlessRatio	fluid property|dimensionless ratio	wd:Q20707835|wd:Q7250271	dimensionless number in fluid mechanics|criterion of similarity	high		reynolds number		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDimensionlessRatio/RichardsonNumber	richardson number	wd:Q961847	Richardson number	sweet:propDimensionlessRatio/DimensionlessRatio	dimensionless ratio	wd:Q20707835|wd:Q7250271	dimensionless number in fluid mechanics|criterion of similarity	high		richardson number		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDimensionlessRatio/RossbyNumber	rossby number	wd:Q676622	Rossby number	sweet:propDimensionlessRatio/DimensionlessRatio	dimensionless ratio	wd:Q20707835|wd:Q7250271	dimensionless number in fluid mechanics|criterion of similarity	high		rossby number		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDimensionlessRatio/RouseNumber	rouse number	wd:Q2067441	Rouse number	sweet:propDimensionlessRatio/DimensionlessRatio	dimensionless ratio	wd:Q20707835|wd:Q7250271	dimensionless number in fluid mechanics|criterion of similarity	high		rouse number		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDimensionlessRatio/SpecificStorage	specific storage	wd:Q1540011	specific storage	sweet:propDimensionlessRatio/DimensionlessRatio	dimensionless ratio	wd:Q4373292	physical property	high		specific storage		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propDimensionlessRatio/VoidRatio	void ratio	wd:Q1444861	void ratio	sweet:propDimensionlessRatio/DimensionlessRatio|sweet:propMass/ConsistenceProperty	dimensionless ratio|consistence property	wd:Q126818|wd:Q3481047	dimensionless quantity|ratio	high		void ratio		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergy/BindingEnergy	binding energy	wd:Q420754	binding energy	sweet:propEnergy/ChemicalEnergy|sweet:propEnergy/PotentialEnergy	chemical energy|potential energy	wd:Q3935690	form of energy	high		binding energy		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergy/ChemicalEnergy	chemical energy	wd:Q582668	chemical energy	sweet:prop/ChemicalProperty|sweet:propEnergy/Energy	chemical property|energy	wd:Q3935690	form of energy	high		chemical energy		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergy/EnergyDensity	energy density	wd:Q828402	energy density	sweet:propQuantity/IntensiveProperty|sweet:reprMathOperation/Ratio	intensive property|ratio	wd:Q107715	physical quantity	high		energy density		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergy/Enthalpy	enthalpy	wd:Q161064	enthalpy	sweet:propEnergy/ChemicalEnergy	chemical energy	wd:Q2420179|wd:Q3386703	thermodynamic potential|extensive physical quantity	high		enthalpy		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergy/GibbsFreeEnergy	gibbs free energy	wd:Q334631	Gibbs free energy	sweet:propEnergy/ChemicalEnergy	chemical energy	wd:Q1146448|wd:Q2420179	Thermodynamic free energy|thermodynamic potential	high		gibbs free energy		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergy/InternalEnergy	internal energy	wd:Q180241	internal energy	sweet:propEnergy/Energy	energy	wd:Q230937|wd:Q2420179|wd:Q3386703	state function|thermodynamic potential|extensive physical quantity	high		internal energy		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergy/RadiantEnergy	radiant energy	wd:Q1259526	radiant energy	sweet:propEnergy/Energy	energy	wd:Q107715|wd:Q3935690	physical quantity|form of energy	high		radiant energy		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergy/SpecificEnergy	specific energy	wd:Q3023293	specific energy	sweet:propQuantity/IntensiveProperty|sweet:reprMathOperation/Ratio	intensive property|ratio	wd:Q107715	physical quantity	high		specific energy		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergy/ThermalEnergy	thermal energy	wd:Q209233	thermal energy			wd:Q3935690	form of energy	high		thermal energy		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergyFlux/FluxDensity	flux density	wd:Q51720768	flux density	sweet:propQuantity/Flux	flux			high		flux density		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergyFlux/Illuminance	illuminance	wd:Q194411	illuminance	sweet:propEnergyFlux/EnergyFlux	energy flux	wd:Q181175|wd:Q3386703	scalar physical quantity|extensive physical quantity	high		illuminance		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergyFlux/LuminousFlux	luminous flux	wd:Q107780	luminous flux	sweet:propEnergyFlux/EnergyFlux	energy flux	wd:Q107715	physical quantity	high		luminous flux		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergyFlux/LuminousIntensity	luminous intensity	wd:Q104831	luminous intensity	sweet:propQuantity/ElectromagneticRadiationQuantity	electromagnetic radiation quantity	wd:Q30337748|wd:Q3386703	ISQ base quantity|extensive physical quantity	high		luminous intensity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergyFlux/SolarConstant	solar constant	wd:Q335272	solar constant	sweet:propEnergyFlux/RadiativeFlux|sweet:propQuantity/PhysicalConstant	radiative flux|physical constant	wd:Q6485344	flux	high		solar constant		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propEnergyFlux/SpectralRadiance	spectral radiance	wd:Q27649052	spectral radiance	sweet:propEnergyFlux/Radiance	radiance	wd:Q107715	physical quantity	high		spectral radiance		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propFraction/CapacityFactor	capacity factor	wd:Q1755148	capacity factor	sweet:propFraction/FractionalQuantity	fractional quantity	wd:Q2272475|wd:Q47574	economic index|unit of measurement	high		capacity factor		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propFraction/MolarConcentration	molar concentration	wd:Q672821	molar concentration			wd:Q107715	physical quantity	high		molar concentration		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propFraction/Porosity	porosity	wd:Q622669	porosity	sweet:propFraction/FractionalQuantity|sweet:propMass/ConsistenceProperty	fractional quantity|consistence property	wd:Q126818	dimensionless quantity	high		porosity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propFraction/RelativeHumidity	relative humidity	wd:Q2499617	relative humidity	sweet:propFraction/Humidity	humidity	wd:Q3481047	ratio	high		relative humidity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propFunction/Percentile	percentile	wd:Q2913954	percentile	sweet:prop/StatisticalSummary	statistical summary	wd:Q578714	quantile	high		percentile		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propFunction/Quartile	quartile	wd:Q2786686	quartile	sweet:propFunction/Percentile	percentile	wd:Q47103999	type of statistic	high		quartile		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propFunction/Skewness	skewness	wd:Q330828	skewness	sweet:prop/StatisticalSummary	statistical summary	wd:Q47103999	type of statistic	high		skewness		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propFunction/StandardError	standard error	wd:Q56303791	standard error	sweet:reprSciModel/Estimate	estimate	wd:Q1070408	Standard streams	high		standard error		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propIndex/EnvironmentalPerformanceIndex	environmental performance index	wd:Q1261772	Environmental Performance Index	sweet:propIndex/EnvironmentalIndex	environmental index	wd:Q1738991	index number	high		environmental performance index		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propMass/BulkDensity	bulk density	wd:Q899249	bulk density	sweet:propMass/Density	density	wd:Q3387041	intensive quantity	high		bulk density		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propMass/MaterialProperty	material property	wd:Q3523867	material property	sweet:prop/PhysicalProperty	physical property			high		material property		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propMass/SpecificVolume	specific volume	wd:Q683556	specific volume	sweet:propQuantity/IntensiveProperty	intensive property	wd:Q107715|wd:Q3387041	physical quantity|intensive quantity	high		specific volume		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propPressure/BulkModulus	bulk modulus	wd:Q900371	bulk modulus	sweet:propQuantity/PhysicalQuantity	physical quantity	wd:Q5725005	mechanical property of materials	high		bulk modulus		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propPressure/CompressiveStrength	compressive strength	wd:Q186191	compressive strength	sweet:propPressure/Strength	strength	wd:Q107715	physical quantity	high		compressive strength		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propPressure/DynamicViscosity	dynamic viscosity	wd:Q15152757	dynamic viscosity			wd:Q107715|wd:Q5725005	physical quantity|mechanical property of materials	high		dynamic viscosity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propPressure/ShearModulus	shear modulus	wd:Q461466	shear modulus	sweet:propMass/MaterialProperty|sweet:propQuantity/PhysicalQuantity	material property|physical quantity	wd:Q1066623|wd:Q5725005	Lamé parameters|mechanical property of materials	high		shear modulus		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propQuantity/FieldStrength	field strength	wd:Q1365197	field strength	sweet:propQuantity/PhysicalQuantity	physical quantity			high		field strength		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propQuantity/PhysicalConstant	physical constant	wd:Q173227	physical constant	sweet:reprMath/Constant	constant			high		physical constant		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propQuantity/PhysicalQuantity	physical quantity	wd:Q107715	physical quantity	sweet:prop/PhysicalProperty|sweet:propQuantity/Quantity	physical property|quantity			high		physical quantity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propRotation/AngularAcceleration	angular acceleration	wd:Q186300	angular acceleration	sweet:prop/AngularMotionProperty|sweet:propQuantity/VectorQuantity	angular motion property|vector quantity	wd:Q107715	physical quantity	high		angular acceleration		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propRotation/AngularVelocity	angular velocity	wd:Q161635	angular velocity	sweet:prop/AngularMotionProperty|sweet:propQuantity/VectorQuantity	angular motion property|vector quantity	wd:Q107715|wd:Q181175|wd:Q2672914	physical quantity|scalar physical quantity|vector physical quantity	high		angular velocity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propRotation/MomentOfInertia	moment of inertia	wd:Q165618	moment of inertia	sweet:prop/AngularMotionProperty|sweet:propQuantity/PhysicalQuantity	angular motion property|physical quantity	wd:Q107715|wd:Q3386703	physical quantity|extensive physical quantity	high		moment of inertia		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propRotation/Vorticity	vorticity	wd:Q1143513	vorticity	sweet:reprMathOperation/VectorFieldOperation	vector field operation	wd:Q107715	physical quantity	high		vorticity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propSpaceDirection/HorizontalDirection	horizontal direction	wd:Q20749305	horizontal direction	sweet:propSpaceDirection/Direction	direction	wd:Q12055124|wd:Q63895111	script directionality|topographic direction	high		horizontal direction		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propSpaceDirection/SolidAngle	solid angle	wd:Q208476	solid angle	sweet:propQuantity/Quantity	quantity	wd:Q107715|wd:Q30337763	physical quantity|ISQ derived quantity	high		solid angle		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propSpaceDirection/VerticalDirection	vertical direction	wd:Q182167	vertical direction	sweet:propSpaceDirection/Direction	direction	wd:Q12055124|wd:Q63895111	script directionality|topographic direction	high		vertical direction		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propSpaceDistance/SpatialFrequency	spatial frequency	wd:Q1650811	spatial frequency	sweet:propQuantity/RadiationMediumInteractionQuantity|sweet:propSpaceDistance/PerMeterQuantity	radiation medium interaction quantity|per meter quantity	wd:Q107715	physical quantity	high		spatial frequency		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propSpaceHeight/FlightLevel	flight level	wd:Q1335035	flight level	sweet:propSpaceHeight/Altitude	altitude	wd:Q47574	unit of measurement	high		flight level		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propSpaceHeight/SeaState	sea state	wd:Q1569795	sea state	sweet:propSpaceHeight/Height	height	wd:Q937228	property	high		sea state		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propSpaceHeight/TopographicProminence	topographic prominence	wd:Q656751	topographic prominence	sweet:propSpaceHeight/Height	height	wd:Q151885	concept	high		topographic prominence		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propSpaceLocation/MirrorPoint	mirror point	wd:Q21490420	Mirror Point	sweet:propSpaceLocation/Location	location	wd:Q34763	peninsula	high		mirror point		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propSpaceMultidimensional/CarbonFootprint	carbon footprint	wd:Q310667	carbon footprint	sweet:propSpaceMultidimensional/Footprint	footprint	wd:Q151885	concept	high		carbon footprint		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propSpaceThickness/HydraulicHead	hydraulic head	wd:Q369743	hydraulic head	sweet:propSpaceThickness/FluidHead	fluid head	wd:Q181175	scalar physical quantity	high		hydraulic head		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propSpaceThickness/OpticalDepth	optical depth	wd:Q890809	optical depth	sweet:propQuantity/RadiationMediumInteractionQuantity	radiation medium interaction quantity	wd:Q126818	dimensionless quantity	high		optical depth		[info(label,label,downcase)]	[info(label,label,downcase)]								
