c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
obo:ENVO_00003864	bakery	wd:Q274393	bakery	obo:ENVO_00003861	industrial building	wd:Q1252971|wd:Q213441|wd:Q27038993|wd:Q628858	food manufacturer|shop|food establishment|workplace	high		bakery		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00003869	straw	wd:Q160066	straw	obo:ENVO_0010003	agricultural environmental material	wd:Q28969364	plant material	high		straw		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00003884	farmyard manure	wd:Q51992555	Farmyard manure	obo:ENVO_00003031	animal manure	wd:Q185716	manure	high		farmyard manure		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00003885	brewery	wd:Q131734	brewery	obo:ENVO_00003861	industrial building	wd:Q1252971|wd:Q4830453	food manufacturer|business	high		brewery		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00003895	paper product	wd:Q15964794	paper product	obo:ENVO_00003074	manufactured product	wd:Q2424752	product	high		paper product		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00003903	aviation fuel	wd:Q1875633	aviation fuel	obo:ENVO_00002985	oil	wd:Q337540	motor fuel	high		aviation fuel		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00003911	sake brewery	wd:Q29850536	sake brewery	obo:ENVO_00003885	brewery	wd:Q811979|wd:Q83405	architectural structure|factory	high		sake brewery		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00003919	research station	wd:Q195339	research station	obo:ENVO_00000469	research facility	wd:Q1497375|wd:Q57951700	ensemble|research site	high		research station		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00003963	warehouse	wd:Q1362225	warehouse	obo:ENVO_01001222	commercial building	wd:Q41176|wd:Q9158768	building|storage	high		warehouse		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00003967	creamery	wd:Q61140231	Creamery	obo:ENVO_01000420|obo:ENVO_00003862	building part|dairy	wd:Q41176|wd:Q628858	building|workplace	high		creamery		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00003968	air filter	wd:Q583488	air filter	obo:ENVO_00003074|obo:ENVO_00002874	manufactured product|air conditioning unit	wd:Q736556	filter	high		air filter		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00003982	travertine	wd:Q187156	travertine	obo:ENVO_00002053	limestone	wd:Q23757	limestone	high		travertine		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00004638	sawmill	wd:Q505213	sawmill	obo:ENVO_00003861	industrial building	wd:Q83405	factory	high		sawmill		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00005739	sea foam	wd:Q249020	sea foam	obo:ENVO_00005738|obo:ENVO_00000016	foam|sea	wd:Q215414	foam	high		sea foam		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00005801	rhizosphere	wd:Q1124578	rhizosphere	obo:ENVO_01000408	environmental zone	wd:Q37813	ecosystem	high		rhizosphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00009686	ice rise	wd:Q1656082	ice rise	obo:ENVO_00000176|obo:ENVO_00000380	elevation|ice shelf	wd:Q271669	landform	high		ice rise		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00009725	ice piedmont	wd:Q5985490	ice piedmont	obo:ENVO_00000133	glacier	wd:Q35666	glacier	high		ice piedmont		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00010358	fomite	wd:Q3075150	Fomite	obo:ENVO_01000010	abiotic mesoscopic physical object	wd:Q107994	vector	high		fomite		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00010442	midden	wd:Q1152199	midden	obo:ENVO_00000002	anthropogenic geographic feature	wd:Q152810|wd:Q839954	landfill|archaeological site	high		midden		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00010505	aerosol	wd:Q104541	aerosol	obo:ENVO_00010483	environmental material	wd:Q178697|wd:Q79529	dispersion|chemical substance	high		aerosol		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00010506	emulsion	wd:Q187634	emulsion	obo:ENVO_00010483	environmental material	wd:Q181780	colloid	high		emulsion		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00010622	vivarium	wd:Q315630	vivarium	obo:ENVO_00003074	manufactured product	wd:Q56055115	artificial animal shelter	high		vivarium		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00010624	botanical garden	wd:Q167346	botanical garden	obo:ENVO_00000011	garden	wd:Q1107656|wd:Q13226383|wd:Q31855|wd:Q43229	garden|facility|research institute|organization	high		botanical garden		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_00010625	zoological garden	wd:Q43501	zoo	obo:ENVO_00000011	garden	wd:Q13226383|wd:Q15642541|wd:Q178706|wd:Q570116	facility|human-geographic territorial entity|institution|tourist attraction	high		zoo		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_00012408	aquifer	wd:Q208791	aquifer	obo:ENVO_01001275	solid layer	wd:Q2551525	water reservoir	high		aquifer		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000000	humus	wd:Q172645	humus	obo:ENVO_01000155|obo:ENVO_01000814|obo:ENVO_00001998	organic material|solid environmental material|soil	wd:Q1783121	organic matter	high		humus		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000003	oil well	wd:Q587682	oil well	obo:ENVO_00000026	well	wd:Q811979	architectural structure	high		oil well		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000016	silt	wd:Q270699	silt	obo:ENVO_00010483	environmental material	wd:Q82480	sedimentary rock	high		silt		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000018	gravel	wd:Q133833	gravel	obo:ENVO_00010483	environmental material	wd:Q2259909|wd:Q22731	dry bulk cargo|stone	high		gravel		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000058	kelp forest	wd:Q575913	Kelp forest	obo:ENVO_00000104	undersea feature	wd:Q237169	seaweed	high		kelp forest		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000140	whale fall	wd:Q2937985	whale fall	obo:ENVO_01000139	animal carcass fall	wd:Q1190554|wd:Q2937981	occurrence|carcass	high		whale fall		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000204	tropical	wd:Q20755687	tropical	obo:ENVO_01000203	environmental condition	wd:Q3715160	suiting	high		tropical		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000230	arid	wd:Q1330709	arid	obo:ENVO_01000203	environmental condition	wd:Q7937	climate	high		arid		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000236	basalt	wd:Q43338	basalt	obo:ENVO_00002013	igneous rock	wd:Q108689	volcanic rock	high		basalt		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000255	mineral deposit	wd:Q15104915	mineral deposit	obo:ENVO_00000191	solid astronomical body part	wd:Q35145263	natural geographic object	high		mineral deposit		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000256	mineral material	wd:Q2033428	mineral material	obo:ENVO_01000814	solid environmental material	wd:Q214609|wd:Q36133	base material|soil	high		mineral material		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000258	cline	wd:Q16740861	cline	obo:ENVO_01000281	layer	wd:Q23497981	layer	high		cline		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000259	pycnocline	wd:Q1478740	pycnocline	obo:ENVO_01000258	cline	wd:Q16740861	cline	high		pycnocline		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000262	seep	wd:Q3311748	seep	obo:ENVO_00000027	spring	wd:Q161598	groundwater	high		seep		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000263	cold seep	wd:Q1107856	cold seep	obo:ENVO_01000262	seep	wd:Q43518	oceanography	high		cold seep		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000266	water vapour	wd:Q190120	water vapor	obo:ENVO_01000797	gaseous environmental material	wd:Q255722|wd:Q283	vapor|water	high		water vapor		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_01000267	atmosphere	wd:Q8104	atmosphere	obo:ENVO_01000281|obo:ENVO_01001478	layer|gaseous astronomical body part	wd:Q11432|wd:Q20084189	gas|Nada	high		atmosphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000269	siltstone	wd:Q565731	siltstone	obo:ENVO_01000271	clastic sedimentary rock	wd:Q6931872	mudrock	high		siltstone		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000270	claystone	wd:Q1932127	claystone	obo:ENVO_01000271	clastic sedimentary rock	wd:Q660019|wd:Q6931872	pelite|mudrock	high		claystone		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000272	mudstone	wd:Q6642424	mudstone	obo:ENVO_01000271	clastic sedimentary rock	wd:Q82480	sedimentary rock	high		mudstone		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000275	structural basin	wd:Q749565	structural basin	obo:ENVO_00000309	depression	wd:Q190429	depression	high		structural basin		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000276	ecoregion	wd:Q295469	ecoregion	obo:ENVO_01000408|obo:ENVO_01000280	environmental zone|ecozone	wd:Q1970725	natural region	high		ecoregion		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000279	ice lens	wd:Q1319360	Ice lens	obo:ENVO_01001547	land ice mass	wd:Q23392	ice	high		ice lens		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000280	ecozone	wd:Q944816	ecozone	obo:ENVO_01000408|obo:ENVO_01000817	environmental zone|biosphere	wd:Q1970725	natural region	high		ecozone		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000284	amictic lake	wd:Q4746146	amictic lake	obo:ENVO_00000020	lake	wd:Q23397	lake	high		amictic lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000285	holomictic lake	wd:Q3267675	holomictic lake	obo:ENVO_00000020	lake	wd:Q23397	lake	high		holomictic lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000286	dimictic lake	wd:Q3738260	dimictic lake	obo:ENVO_01000285	holomictic lake	wd:Q3267675	holomictic lake	high		dimictic lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000287	polymictic lake	wd:Q4862348	polymictic lake	obo:ENVO_01000285	holomictic lake	wd:Q3267675	holomictic lake	high		polymictic lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000288	monomictic lake	wd:Q4862338	monomictic lake	obo:ENVO_01000285	holomictic lake	wd:Q3267675	holomictic lake	high		monomictic lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000302	outcrop	wd:Q531953	outcrop	obo:ENVO_00000191	solid astronomical body part	wd:Q35145263	natural geographic object	high		outcrop		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000323	atmospheric boundary layer	wd:Q1757268	Planetary boundary layer	obo:ENVO_01000544|obo:ENVO_01000267	boundary layer|atmosphere	wd:Q23497981	layer	high		planetary boundary layer		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_01000324	planetary surface	wd:Q7201252	planetary surface	obo:ENVO_01001483|obo:ENVO_01000800	surface of an astronomical body|planet	wd:Q17334923|wd:Q30318034	location|astronomical object's surface	high		planetary surface		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000335	understory	wd:Q422666	understory	obo:ENVO_01000355	vegetation layer	wd:Q37813	ecosystem	high		understory		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000360	solutional cave	wd:Q7558985	solutional cave	obo:ENVO_00000067	cave	wd:Q35509	cave	high		solutional cave		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000364	glacier cave	wd:Q40691	glacier cave	obo:ENVO_00000067|obo:ENVO_00000133	cave|glacier	wd:Q35509	cave	high		glacier cave		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000365	ice cave	wd:Q1317637	ice cave	obo:ENVO_00000067	cave	wd:Q35509	cave	high		ice cave		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000368	anchialine pool	wd:Q575279	anchialine pool	obo:ENVO_00000033	pond	wd:Q15324	body of water	high		anchialine pool		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000378	arid subtropical	wd:Q190946	desert climate	obo:ENVO_01000205	subtropical	wd:Q1330709	arid	high		desert climate		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_01000407	littoral zone	wd:Q506894	littoral zone	obo:ENVO_01000408|obo:ENVO_01000317	environmental zone|aquatic environment	wd:Q468756	shore	high		littoral zone		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000422	bathroom	wd:Q190771	bathroom	obo:ENVO_01000426	room	wd:Q180516	room	high		bathroom		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000423	living room	wd:Q475018	living room	obo:ENVO_01000426	room	wd:Q180516	room	high		living room		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000424	patio	wd:Q737988	patio	obo:ENVO_00000070	construction	wd:Q21950738	exterior space	high		patio		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000426	room	wd:Q180516	room	obo:ENVO_01000420	building part	wd:Q1299240|wd:Q17334923|wd:Q811979	interior space|location|architectural structure	high		room		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000429	burrow	wd:Q1410542	burrow	obo:ENVO_01000009	biotic mesoscopic physical object	wd:Q56656227|wd:Q699405	animal shelter created by an animal|residence	high		burrow		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000431	mixed forest	wd:Q3079086	mixed forest	obo:ENVO_01001243	forest ecosystem	wd:Q4421	forest	high		mixed forest		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000433	needleleaf forest	wd:Q16237489	coniferous forest	obo:ENVO_01001243	forest ecosystem			high		coniferous forest		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_01000437	lava field	wd:Q488416	lava field	obo:ENVO_01000352	field	wd:Q2221906|wd:Q35145263|wd:Q40157	geographic location|natural geographic object|lava	high		lava field		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000438	lava flow	wd:Q2512740	lava flow	obo:ENVO_00000094|obo:ENVO_01001476	volcanic feature|body of liquid	wd:Q29025902|wd:Q29436423	volcanic landform|volcanic phenomenon	high		lava flow		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000441	andesite	wd:Q181908	andesite	obo:ENVO_00002013	igneous rock	wd:Q47069	metamorphic rock	high		andesite		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000442	dacite	wd:Q466481	dacite	obo:ENVO_00002013	igneous rock	wd:Q108689	volcanic rock	high		dacite		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000446	ravine	wd:Q2042028	ravine	obo:ENVO_00000100	valley	wd:Q631305|wd:Q75520	rock formation|plateau	high		ravine		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000456	concrete masonry unit	wd:Q766952	concrete masonry unit	obo:ENVO_01000457	masonry unit	wd:Q206615	building material	high		concrete masonry unit		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000459	asphalt concrete	wd:Q189259	asphalt concrete	obo:ENVO_01000458	concrete	wd:Q1049667	road surface	high		asphalt concrete		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000470	building envelope	wd:Q4986592	building envelope	obo:ENVO_01000420	building part	wd:Q391414	architectural element	high		building envelope		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000475	brick	wd:Q40089	brick	obo:ENVO_01000457	masonry unit	wd:Q944070	artificial stone	high		brick		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000480	glass	wd:Q11469	glass	obo:ENVO_01000814	solid environmental material	wd:Q103382|wd:Q11438|wd:Q214609	amorphous solid|solid|base material	high		glass		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000483	flat glass	wd:Q1426151	sheet glass	obo:ENVO_01000482	soda-lime glass	wd:Q11469	glass	high		sheet glass		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_01000484	container glass	wd:Q5164895	container glass	obo:ENVO_01000482	soda-lime glass	wd:Q11469	glass	high		container glass		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000505	salt dome	wd:Q477449	salt dome	obo:ENVO_01000443	salt mass	wd:Q15104915|wd:Q271669	mineral deposit|landform	high		salt dome		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000514	tile	wd:Q468402	tile	obo:ENVO_00003074	manufactured product	wd:Q206615|wd:Q391414	building material|architectural element	high		tile		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000517	pit latrine	wd:Q3097999	pit latrine	obo:ENVO_01000519	latrine	wd:Q7857	toilet	high		pit latrine		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000518	diapir	wd:Q943898	diapir	obo:ENVO_01000525	rock intrusion	wd:Q61041319	intrusion	high		diapir		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000519	latrine	wd:Q5615741	latrine	obo:ENVO_01000516	toilet fixture	wd:Q811979	architectural structure	high		latrine		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000521	batholith	wd:Q810808	batholith	obo:ENVO_01000659	igneous intrusion	wd:Q61041319	intrusion	high		batholith		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000524	outhouse	wd:Q153938	outhouse	obo:ENVO_00000073	building	wd:Q3044808|wd:Q7857	appendage|toilet	high		outhouse		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000539	mesosphere	wd:Q257408	Mesosphere	obo:ENVO_01000543	atmospheric layer	wd:Q101949	mantle	high		mesosphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000540	troposphere	wd:Q3540787	Troposphere	obo:ENVO_01000543	atmospheric layer	wd:Q41291	rocket	high		troposphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000543	atmospheric layer	wd:Q29653271	atmospheric layer	obo:ENVO_01000281|obo:ENVO_01000267	layer|atmosphere	wd:Q23497981	layer	high		atmospheric layer		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000545	ionosphere	wd:Q36956983	ionosphere	obo:ENVO_01000543	atmospheric layer	wd:Q23497974|wd:Q6999	covering|astronomical body	high		ionosphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000548	eutrophic lake	wd:Q3488975	eutrophic lake	obo:ENVO_00000020	lake	wd:Q23397	lake	high		eutrophic lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000550	composting toilet	wd:Q178496	composting toilet	obo:ENVO_01000528	dry toilet fixture	wd:Q18352682|wd:Q7857	dry toilet|toilet	high		composting toilet		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000551	paraffin	wd:Q76904	kerosene	obo:ENVO_00002983	fuel oil	wd:Q22656	petroleum	high		kerosene		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_01000552	natural gas	wd:Q40858	natural gas	obo:ENVO_01000554	hydrocarbon gas	wd:Q12748	fossil fuel	high		natural gas		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000553	liquefied petroleum gas	wd:Q351609	liquefied petroleum gas	obo:ENVO_01000558	liquefied hydrocarbon gas	wd:Q5157020	compressed fluid	high		liquefied petroleum gas		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000555	compressed natural gas	wd:Q720050	compressed natural gas	obo:ENVO_01000552	natural gas	wd:Q40858	natural gas	high		compressed natural gas		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000556	biogas	wd:Q171076	biogas	obo:ENVO_01000554	hydrocarbon gas	wd:Q14515877|wd:Q909363	biocombustible|fuel gas	high		biogas		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000557	liquefied natural gas	wd:Q358333	liquefied natural gas	obo:ENVO_01000558	liquefied hydrocarbon gas	wd:Q1059843|wd:Q40858|wd:Q5157020	petroleum product|natural gas|compressed fluid	high		liquefied natural gas		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000561	paraffin lamp	wd:Q215628	kerosene lamp	obo:ENVO_01000566	lamp	wd:Q1138737	lamp	high		kerosene lamp		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_01000566	lamp	wd:Q1138737	lamp	obo:ENVO_00003074	manufactured product	wd:Q1146001|wd:Q14745|wd:Q8205328	light source|furniture|artificial physical object	high		lamp		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000572	electric lamp	wd:Q1318740	electric lamp	obo:ENVO_01000566	lamp	wd:Q1138737	lamp	high		electric lamp		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000574	candle	wd:Q79746	candle	obo:ENVO_01000566	lamp	wd:Q20087093	portable light source	high		candle		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000575	wax	wd:Q124695	wax	obo:ENVO_00010483	environmental material	wd:Q79529	chemical substance	high		wax		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000576	apiary	wd:Q857628	apiary	obo:ENVO_00000077	agricultural feature	wd:Q1303167|wd:Q628858	barn|workplace	high		apiary		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000579	television set	wd:Q8075	television set	obo:ENVO_00003074	manufactured product	wd:Q1780509|wd:Q3395171	communication device|electronic device	high		television set		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000580	telephone	wd:Q11035	telephone	obo:ENVO_00003074	manufactured product	wd:Q11019|wd:Q1183543|wd:Q2425052|wd:Q581105	machine|device|electrical apparatus|consumer electronics	high		telephone		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000581	mobile phone	wd:Q17517	mobile phone	obo:ENVO_01000580	telephone	wd:Q11035|wd:Q5082128	telephone|mobile device	high		mobile phone		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000582	landline telephone	wd:Q738621	landline telephone	obo:ENVO_01000580	telephone	wd:Q11035|wd:Q944584	telephone|telephony	high		landline telephone		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000583	refrigerator	wd:Q37828	refrigerator	obo:ENVO_00003074	manufactured product	wd:Q12269769	major appliance	high		refrigerator		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000585	desk	wd:Q1064858	desk	obo:ENVO_01000584	table	wd:Q14748	table	high		desk		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000588	sofa	wd:Q131514	couch	obo:ENVO_01000589	bench	wd:Q2207370	seat	high		couch		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_01000590	mattress	wd:Q171495	mattress	obo:ENVO_01000587	piece of furniture	wd:Q1762457	bedding	high		mattress		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000592	bed base	wd:Q1807059	bed base	obo:ENVO_01000587	piece of furniture	wd:Q1762457	bedding	high		bed base		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000595	cupboard	wd:Q5662058	cupboard	obo:ENVO_01000594	cabinet	wd:Q2741056|wd:Q3561331	cabinet|vitrine	high		cupboard		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000601	motor vehicle	wd:Q752870	motor vehicle	obo:ENVO_01000604	vehicle	wd:Q11019|wd:Q42889	machine|vehicle	high		motor vehicle		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000602	truck	wd:Q43193	truck	obo:ENVO_01000601	motor vehicle	wd:Q752870	motor vehicle	high		truck		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000604	vehicle	wd:Q42889	vehicle	obo:ENVO_00003074	manufactured product	wd:Q11019|wd:Q3245975	machine|finished good	high		vehicle		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000605	car	wd:Q1420	car	obo:ENVO_01000601	motor vehicle	wd:Q752870	motor vehicle	high		car		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000606	cart	wd:Q234668	cart	obo:ENVO_01000604	vehicle	wd:Q15618781	wheeled vehicle	high		cart		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000612	taxicab	wd:Q82650	taxi	obo:ENVO_01000605	car	wd:Q42889	vehicle	high		taxi		[info(exact,label,downcase)]	[info(exact,label,downcase)]								
obo:ENVO_01000613	watercraft	wd:Q1229765	watercraft	obo:ENVO_01000604	vehicle	wd:Q42889|wd:Q50380212	vehicle|floating object	high		watercraft		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000619	closed ecological system	wd:Q3176324	closed ecological system	obo:ENVO_00010622	vivarium	wd:Q37813	ecosystem	high		closed ecological system		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000629	climate change	wd:Q125928	climate change	obo:ENVO_02500000	environmental system process	wd:Q1150070|wd:Q2144359	change|environmental issue	high		climate change		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000632	chonolith	wd:Q4499769	Chonolith	obo:ENVO_01000525	rock intrusion	wd:Q61041319	intrusion	high		chonolith		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000634	volcanic eruption	wd:Q7692360	volcanic eruption	obo:ENVO_02500031|obo:ENVO_03000010	hydrological process|material transport process	wd:Q29436423|wd:Q8065	volcanic phenomenon|natural disaster	high		volcanic eruption		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000635	land	wd:Q11081619	land	obo:ENVO_01000324|obo:ENVO_01001311	planetary surface|solid surface layer	wd:Q205895	landmass	high		land		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000637	outer space	wd:Q4169	outer space	obo:ENVO_00002297|obo:ENVO_00010483	environmental feature|environmental material	wd:Q11475|wd:Q17334923|wd:Q19829125|wd:Q4235019	vacuum|location|absence|space object	high		outer space		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000640	planetary mantle	wd:Q12045499	planetary mantle	obo:ENVO_01000639	planetary structural layer	wd:Q47495022	shell of an astronomical object	high		planetary mantle		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000641	planetary core	wd:Q742129	planetary core	obo:ENVO_01000639	planetary structural layer	wd:Q47495022	shell of an astronomical object	high		planetary core		[info(label,label,downcase)]	[info(label,label,downcase)]								
obo:ENVO_01000646	lithosphere	wd:Q83296	lithosphere	obo:ENVO_01000639|obo:ENVO_01001275	planetary structural layer|solid layer	wd:Q23497981	layer	high		lithosphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
