
obo:GAZ_00001516	Ammassalik Island	obo:ENVO_00000098	island
obo:GAZ_00001518	Clavering Island	obo:ENVO_00000098	island
obo:GAZ_00001522	Edvards Island	obo:ENVO_00000098	island
obo:GAZ_00001523	Eila Island	obo:ENVO_00000098	island
obo:GAZ_00001524	East Jensens Island	obo:ENVO_00000098	island
obo:GAZ_00001525	Disko Island	obo:ENVO_00000098	island
obo:GAZ_00001529	Godfred Hansens Island	obo:ENVO_00000098	island
obo:GAZ_00001531	Ikeq Island	obo:ENVO_00000098	island
obo:GAZ_00001533	Kiatassuaq Island	obo:ENVO_00000098	island
obo:GAZ_00001534	Hendrik Island	obo:ENVO_00000098	island
obo:GAZ_00001535	Kuhn Island	obo:ENVO_00000098	island
obo:GAZ_00001537	John Murray Island	obo:ENVO_00000098	island
obo:GAZ_00001546	Jethou	obo:ENVO_00000098	island
obo:GAZ_00001547	Brecqhou	obo:ENVO_00000098	island
obo:GAZ_00001555	Les Dirouilles	obo:ENVO_00000130	rocky reef
obo:GAZ_00001560	Burhou	obo:ENVO_00000098	island
obo:GAZ_00001564	Fair Isle	obo:ENVO_00000098	island
obo:GAZ_00001566	Sule Stack	obo:ENVO_00000098	island
obo:GAZ_00001567	Sule Skerry	obo:ENVO_00000098	island
obo:GAZ_00001568	Auskerry	obo:ENVO_00000098	island
obo:GAZ_00001569	Gairsay	obo:ENVO_00000098	island
obo:GAZ_00001570	North Ronaldsay	obo:ENVO_00000098	island
obo:GAZ_00001571	Papa Westray	obo:ENVO_00000098	island
obo:GAZ_00001572	Papa Stronsay	obo:ENVO_00000098	island
obo:GAZ_00001576	Shapinsay	obo:ENVO_00000098	island
obo:GAZ_00001577	Holm of Papay	obo:ENVO_00000098	island
obo:GAZ_00001578	Calf of Eday	obo:ENVO_00000098	island
obo:GAZ_00001580	Rousay	obo:ENVO_00000098	island
obo:GAZ_00001581	Faray	obo:ENVO_00000098	island
obo:GAZ_00001582	Eynhallow	obo:ENVO_00000098	island
obo:GAZ_00001583	Helliar Holm	obo:GAZ_00118321	Tidal Island
obo:GAZ_00001584	Holm of Faray	obo:ENVO_00000098	island
obo:GAZ_00001585	Damsay	obo:ENVO_00000098	island
obo:GAZ_00001586	Kili Holm	obo:GAZ_00118321	Tidal Island
obo:GAZ_00001587	Holm of Scockness	obo:ENVO_00000098	island
obo:GAZ_00001590	Rusk Holm	obo:ENVO_00000098	island
obo:GAZ_00001591	Stronsay	obo:ENVO_00000098	island
obo:GAZ_00001598	Copinsay	obo:ENVO_00000098	island
obo:GAZ_00001600	Calf of Flotta	obo:ENVO_00000098	island
obo:GAZ_00001601	Burray	obo:ENVO_00000098	island
obo:GAZ_00001602	Swona	obo:ENVO_00000098	island
obo:GAZ_00001603	Rysa Little	obo:ENVO_00000098	island
obo:GAZ_00001604	Hunda	obo:ENVO_00000098	island
obo:GAZ_00001605	Switha	obo:ENVO_00000098	island
obo:GAZ_00001607	Lamb Holm	obo:ENVO_00000098	island
obo:GAZ_00001608	Graemsay	obo:ENVO_00000098	island
obo:GAZ_00001610	South Ronaldsay	obo:ENVO_00000098	island
obo:GAZ_00001612	Mainland Orkney	obo:ENVO_00000098	island
obo:GAZ_00001614	Clettack Skerry	obo:ENVO_00000098	island
obo:GAZ_00001615	Louther Skerry	obo:ENVO_00000098	island
obo:GAZ_00001619	Out Skerries	obo:ENVO_00000220	archipelago
obo:GAZ_00001620	Bruray	obo:ENVO_00000098	island
obo:GAZ_00001621	Housay	obo:ENVO_00000098	island
obo:GAZ_00001622	Grunay	obo:ENVO_00000098	island
obo:GAZ_00001623	Fetlar	obo:ENVO_00000098	island
obo:GAZ_00001625	Papa Stour	obo:ENVO_00000098	island
obo:GAZ_00001627	Muckle Roe	obo:ENVO_00000098	island
obo:GAZ_00001628	Bressay	obo:ENVO_00000098	island
obo:GAZ_00001630	Unst	obo:ENVO_00000098	island
obo:GAZ_00001631	Whalsay	obo:ENVO_00000098	island
obo:GAZ_00001638	Colsay	obo:ENVO_00000098	island
obo:GAZ_00001639	East Linga	obo:ENVO_00000098	island
obo:GAZ_00001640	Fish Holm	obo:ENVO_00000098	island
obo:GAZ_00001641	Gloup Holm	obo:ENVO_00000098	island
obo:GAZ_00001643	Haaf Gruney	obo:ENVO_00000098	island
obo:GAZ_00001644	Hascosay	obo:ENVO_00000098	island
obo:GAZ_00001645	Lady's Holm	obo:ENVO_00000098	island
obo:GAZ_00001648	Huney	obo:GAZ_00118321	Tidal Island
obo:GAZ_00001653	Lunna Holm	obo:ENVO_00000098	island
obo:GAZ_00001655	Little Roe	obo:ENVO_00000098	island
obo:GAZ_00001656	North Havra	obo:ENVO_00000098	island
obo:GAZ_00001657	Muckle Ossa	obo:ENVO_00000098	island
obo:GAZ_00001659	Orfasay	obo:ENVO_00000098	island
obo:GAZ_00001660	Oxna	obo:ENVO_00000098	island
obo:GAZ_00001661	Papa Little	obo:ENVO_00000098	island
obo:GAZ_00001662	Out Stack	obo:ENVO_00000098	island
obo:GAZ_00001666	Samphrey	obo:ENVO_00000098	island
obo:GAZ_00001668	Urie Lingey	obo:ENVO_00000098	island
obo:GAZ_00001669	South Isle of Gletness	obo:ENVO_00000098	island
obo:GAZ_00001670	Vementry	obo:ENVO_00000098	island
obo:GAZ_00001671	West Linga	obo:ENVO_00000098	island
obo:GAZ_00001672	Uynarey	obo:ENVO_00000098	island
obo:GAZ_00001673	Scalloway Islands	obo:ENVO_00000220	archipelago
obo:GAZ_00001683	Big Harcar	obo:ENVO_00000098	island
obo:GAZ_00001690	Mersea Island	obo:ENVO_00000098	island
obo:GAZ_00001694	Isle of Sheppey	obo:ENVO_00000098	island
obo:GAZ_00001697	Portsea Island	obo:ENVO_00000098	island
obo:GAZ_00001701	Isles of Scilly	obo:ENVO_00000220	archipelago
obo:GAZ_00001709	Gweal	obo:ENVO_00000098	island
obo:GAZ_00001714	Great Ganilly	obo:ENVO_00000098	island
obo:GAZ_00001721	Skomer Island	obo:ENVO_00000098	island
obo:GAZ_00001723	Caldey Island	obo:ENVO_00000098	island
obo:GAZ_00001724	Bardsey Island	obo:ENVO_00000098	island
obo:GAZ_00001727	Walney Island	obo:ENVO_00000098	island
obo:GAZ_00001730	Roa Island	obo:ENVO_00000098	island
obo:GAZ_00001731	Piel Island	obo:ENVO_00000098	island
obo:GAZ_00001732	Foulney Island	obo:ENVO_00000098	island
obo:GAZ_00001735	Isle of Arran	obo:ENVO_00000098	island
obo:GAZ_00001747	Holy Isle	obo:ENVO_00000098	island
obo:GAZ_00001749	Inchmarnock	obo:ENVO_00000098	island
obo:GAZ_00001755	Sgat Beag	obo:ENVO_00000098	island
obo:GAZ_00001759	Inner Hebrides	obo:ENVO_00000220	archipelago
obo:GAZ_00001765	Eilean Meadhonach	obo:ENVO_00000098	island
obo:GAZ_00001770	Longay	obo:ENVO_00000098	island
obo:GAZ_00001773	Pabay	obo:ENVO_00000098	island
obo:GAZ_00001790	Calve Island	obo:GAZ_00118321	Tidal Island
obo:GAZ_00001798	Belnahua	obo:ENVO_00000098	island
obo:GAZ_00001799	Scarba	obo:ENVO_00000098	island
obo:GAZ_00001804	Cairn na Burgh Beag	obo:ENVO_00000098	island
obo:GAZ_00001807	Sgeir an Eirionnaich	obo:ENVO_00000098	island
obo:GAZ_00001810	Bac Beag	obo:ENVO_00000098	island
obo:GAZ_00001817	Eorsa	obo:ENVO_00000098	island
obo:GAZ_00001818	Erraid	obo:GAZ_00118321	Tidal Island
obo:GAZ_00001820	Inch Kenneth	obo:ENVO_00000098	island
obo:GAZ_00001824	Kerrera	obo:ENVO_00000098	island
obo:GAZ_00001825	Shuna Island	obo:ENVO_00000098	island
obo:GAZ_00001827	Little Colonsay	obo:ENVO_00000098	island
obo:GAZ_00001835	Eilean Chathastail	obo:ENVO_00000098	island
obo:GAZ_00001846	Stac Lee	obo:ENVO_00000098	island
obo:GAZ_00001847	Stac Levenish	obo:ENVO_00000098	island
obo:GAZ_00001848	South Uist	obo:ENVO_00000098	island
obo:GAZ_00001849	North Uist	obo:ENVO_00000098	island
obo:GAZ_00001850	Benbecula	obo:ENVO_00000098	island
obo:GAZ_00001852	Great Bernera	obo:ENVO_00000098	island
obo:GAZ_00001855	Lewis and Harris	obo:ENVO_00000098	island
obo:GAZ_00001857	Vatersay	obo:ENVO_00000098	island
obo:GAZ_00001858	Eriskay	obo:ENVO_00000098	island
obo:GAZ_00001862	Baleshare	obo:ENVO_00000098	island
obo:GAZ_00001862	Baleshare	obo:GAZ_00118321	Tidal Island
obo:GAZ_00001866	Sandray	obo:ENVO_00000098	island
obo:GAZ_00001867	Mingulay	obo:ENVO_00000098	island
obo:GAZ_00001871	Muldoanich	obo:ENVO_00000098	island
obo:GAZ_00001874	Campay	obo:ENVO_00000098	island
obo:GAZ_00001878	Eilean Iubhard	obo:ENVO_00000098	island
obo:GAZ_00001880	Eileanan Iasgaich	obo:ENVO_00000098	island
obo:GAZ_00001882	Fiaraidh	obo:ENVO_00000098	island
obo:GAZ_00001884	Floddaybeg	obo:ENVO_00000098	island
obo:GAZ_00001886	Fuday	obo:ENVO_00000098	island
obo:GAZ_00001887	Fuiay	obo:ENVO_00000098	island
obo:GAZ_00001888	Gighay	obo:ENVO_00000098	island
obo:GAZ_00001889	Gilsay	obo:ENVO_00000098	island
obo:GAZ_00001891	Hellisay	obo:ENVO_00000098	island
obo:GAZ_00001892	Hermetray	obo:ENVO_00000098	island
obo:GAZ_00001893	Killegray	obo:ENVO_00000098	island
obo:GAZ_00001894	Kirkibost	obo:ENVO_00000098	island
obo:GAZ_00001896	Little Bernera	obo:ENVO_00000098	island
obo:GAZ_00001911	Soay Beag	obo:GAZ_00118321	Tidal Island
obo:GAZ_00001913	Stockinish Island	obo:ENVO_00000098	island
obo:GAZ_00001914	Stromay	obo:ENVO_00000098	island
obo:GAZ_00001914	Stromay	obo:GAZ_00118321	Tidal Island
obo:GAZ_00001915	Stuley	obo:ENVO_00000098	island
obo:GAZ_00001919	Vacsay	obo:ENVO_00000098	island
obo:GAZ_00001920	Vallay	obo:ENVO_00000098	island
obo:GAZ_00001920	Vallay	obo:GAZ_00118321	Tidal Island
obo:GAZ_00001925	Eilean Mhuire	obo:ENVO_00000098	island
obo:GAZ_00001938	Gruinard Island	obo:ENVO_00000098	island
obo:GAZ_00001939	Isle of Ewe	obo:ENVO_00000098	island
obo:GAZ_00001941	Monach Islands	obo:ENVO_00000220	archipelago
obo:GAZ_00001944	Ceann Iar	obo:GAZ_00118321	Tidal Island
obo:GAZ_00001946	Ceann Ear	obo:GAZ_00118321	Tidal Island
obo:GAZ_00001949	Calf of Man	obo:ENVO_00000098	island
obo:GAZ_00001964	Sula Sgeir	obo:ENVO_00000098	island
obo:GAZ_00001970	Valentia Island	obo:ENVO_00000098	island
obo:GAZ_00001973	Sherkin Island	obo:ENVO_00000098	island
obo:GAZ_00001975	Inishark	obo:ENVO_00000098	island
obo:GAZ_00001976	Aran Islands	obo:ENVO_00000220	archipelago
obo:GAZ_00001978	Achill Island	obo:ENVO_00000098	island
obo:GAZ_00001980	Arranmore	obo:ENVO_00000098	island
obo:GAZ_00001984	Inishvickillane	obo:ENVO_00000098	island
obo:GAZ_00001987	Tearaght Island	obo:ENVO_00000098	island
obo:GAZ_00001988	Great Blasket Island	obo:ENVO_00000098	island
obo:GAZ_00002285	Irish Sea	obo:ENVO_00000016	sea
obo:GAZ_00002413	Okinawa Trough	obo:ENVO_00000499	trough
obo:GAZ_00002416	East Pacific Rise	obo:ENVO_00000406	mid-ocean ridge
obo:GAZ_00002417	Galapagos Rise	obo:ENVO_00000406	mid-ocean ridge
obo:GAZ_00002418	South Pacific Ocean	obo:ENVO_00000015	ocean
obo:GAZ_00002436	Gakkel Ridge	obo:ENVO_00000406	mid-ocean ridge
obo:GAZ_00002437	Gorda Ridge	obo:ENVO_00000406	mid-ocean ridge
obo:GAZ_00002443	Pacific-Antarctic Ridge	obo:ENVO_00000406	mid-ocean ridge
obo:GAZ_00002446	Southeast Indian Ridge	obo:ENVO_00000406	mid-ocean ridge
obo:GAZ_00002447	Southwest Indian Ridge	obo:ENVO_00000406	mid-ocean ridge
obo:GAZ_00002449	Nankai Trough	obo:ENVO_01000654	undersea trough
obo:GAZ_00002457	Arabian Sea	obo:ENVO_00000016	sea
obo:GAZ_00002458	Alboran Sea	obo:ENVO_00000016	sea
obo:GAZ_00002467	Arabian Peninsula	obo:ENVO_00000305	peninsula
obo:GAZ_00002470	Iranian Plateau	obo:ENVO_00000182	plateau
obo:GAZ_00002480	Hawaiian Islands	obo:ENVO_00000220	archipelago
obo:GAZ_00002487	Suiyo Seamount	obo:ENVO_00000247	volcano
obo:GAZ_00002529	Mono Lake	obo:ENVO_00000197	endorheic lake
obo:GAZ_00002529	Mono Lake	obo:ENVO_01000288	monomictic lake
obo:GAZ_00002563	Province of Ontario	obo:ENVO_00000098	island
obo:GAZ_00002577	Saanich Inlet	obo:ENVO_00000039	fjord
obo:GAZ_00002603	Damariscotta River	obo:ENVO_00000022	river
obo:GAZ_00002604	Chesapeake Bay	obo:ENVO_00000045	estuary
obo:GAZ_00002614	Raritan River	obo:ENVO_00000022	river
obo:GAZ_00002624	Penola Strait	obo:ENVO_00000394	strait
obo:GAZ_00002739	South Kuril Islands	obo:ENVO_00000220	archipelago
obo:GAZ_00002740	Kunashir Island	obo:ENVO_00000098	island
obo:GAZ_00002745	Kamchatka Peninsula	obo:ENVO_00000305	peninsula
obo:GAZ_00002820	Caribbean Sea	obo:ENVO_00000016	sea
