obo:GAZ_00000113	Centre Department	wd:Q25204998	Centre Department	obo:GAZ_00005995	Department (Haiti)	wd:Q617807	department of Ivory Coast	high		centre department		info(label-label,rdf(obo:GAZ_00000113,rdfs:label,Centre Department)-rdf(wd:Q25204998,rdfs:label,Centre Department),downcase)									
obo:GAZ_00000117	Sud Department	wd:Q25205014	Sud Department	obo:GAZ_00005995	Department (Haiti)	wd:Q617807	department of Ivory Coast	high		sud department		info(label-label,rdf(obo:GAZ_00000117,rdfs:label,Sud Department)-rdf(wd:Q25205014,rdfs:label,Sud Department),downcase)									
obo:GAZ_00000150	Chonos Archipelago	wd:Q1076210	Chonos Archipelago	obo:GAZ_00004652|obo:GAZ_00056503	Region of Aysen del General Carlos Ibanez del Campo|Gulf of Corcovado	wd:Q33837	archipelago	high		chonos archipelago		info(label-label,rdf(obo:GAZ_00000150,rdfs:label,Chonos Archipelago)-rdf(wd:Q1076210,rdfs:label,Chonos Archipelago),downcase)									
obo:GAZ_00000163	Sumapaz Province	wd:Q2605989	Sumapaz Province	obo:GAZ_00011681	Cundinamarca Department	wd:Q6089035	province of Cundinamarca Department	high		sumapaz province		info(label-label,rdf(obo:GAZ_00000163,rdfs:label,Sumapaz Province)-rdf(wd:Q2605989,rdfs:label,Sumapaz Province),downcase)									
obo:GAZ_00000179	Central Savanna Province	wd:Q2605366	Central Savanna Province	obo:GAZ_00011681	Cundinamarca Department	wd:Q6089035	province of Cundinamarca Department	high		central savanna province		info(label-label,rdf(obo:GAZ_00000179,rdfs:label,Central Savanna Province)-rdf(wd:Q2605366,rdfs:label,Central Savanna Province),downcase)									
obo:GAZ_00000214	Lower Magdalena Province	wd:Q2605949	Lower Magdalena Province	obo:GAZ_00011681	Cundinamarca Department	wd:Q6089035	province of Cundinamarca Department	high		lower magdalena province		info(label-label,rdf(obo:GAZ_00000214,rdfs:label,Lower Magdalena Province)-rdf(wd:Q2605949,rdfs:label,Lower Magdalena Province),downcase)									
obo:GAZ_00000215	Guavio Province	wd:Q2605937	Guavio Province	obo:GAZ_00011681	Cundinamarca Department	wd:Q6089035	province of Cundinamarca Department	high		guavio province		info(label-label,rdf(obo:GAZ_00000215,rdfs:label,Guavio Province)-rdf(wd:Q2605937,rdfs:label,Guavio Province),downcase)									
obo:GAZ_00000216	Almeidas Province	wd:Q2605993	Almeidas Province	obo:GAZ_00011681	Cundinamarca Department	wd:Q6089035	province of Cundinamarca Department	high		almeidas province		info(label-label,rdf(obo:GAZ_00000216,rdfs:label,Almeidas Province)-rdf(wd:Q2605993,rdfs:label,Almeidas Province),downcase)									
obo:GAZ_00000217	Upper Magdalena Province	wd:Q2605957	Upper Magdalena Province	obo:GAZ_00011681	Cundinamarca Department	wd:Q6089035	province of Cundinamarca Department	high		upper magdalena province		info(label-label,rdf(obo:GAZ_00000217,rdfs:label,Upper Magdalena Province)-rdf(wd:Q2605957,rdfs:label,Upper Magdalena Province),downcase)									
obo:GAZ_00000218	Central Magdalena Province	wd:Q2605399	Central Magdalena Province	obo:GAZ_00011681	Cundinamarca Department	wd:Q6089035	province of Cundinamarca Department	high		central magdalena province		info(label-label,rdf(obo:GAZ_00000218,rdfs:label,Central Magdalena Province)-rdf(wd:Q2605399,rdfs:label,Central Magdalena Province),downcase)									
obo:GAZ_00000221	Soacha Province	wd:Q2605944	Soacha Province	obo:GAZ_00011681	Cundinamarca Department	wd:Q6089035	province of Cundinamarca Department	high		soacha province		info(label-label,rdf(obo:GAZ_00000221,rdfs:label,Soacha Province)-rdf(wd:Q2605944,rdfs:label,Soacha Province),downcase)									
obo:GAZ_00000223	Western Savanna Province	wd:Q2605358	Western Savanna Province	obo:GAZ_00011681	Cundinamarca Department	wd:Q6089035	province of Cundinamarca Department	high		western savanna province		info(label-label,rdf(obo:GAZ_00000223,rdfs:label,Western Savanna Province)-rdf(wd:Q2605358,rdfs:label,Western Savanna Province),downcase)									
obo:GAZ_00000233	Infiernito	wd:Q29604486	Infiernito	obo:GAZ_00012102	Boyaca Department	wd:Q4167410	Wikimedia disambiguation page	high		infiernito		info(label-label,rdf(obo:GAZ_00000233,rdfs:label,Infiernito)-rdf(wd:Q29604486,rdfs:label,Infiernito),downcase)									
obo:GAZ_00000278	La Chacra	wd:Q20118409	La Chacra	obo:GAZ_00000277	Municipality of Ocana	wd:Q4167410	Wikimedia disambiguation page	high		la chacra		info(label-label,rdf(obo:GAZ_00000278,rdfs:label,La Chacra)-rdf(wd:Q20118409,rdfs:label,La Chacra),downcase)									
obo:GAZ_00000297	La Industria	wd:Q8165015	La Industria	obo:GAZ_00000296	Municipality of Pradera	wd:Q4167410	Wikimedia disambiguation page	high		la industria		info(label-label,rdf(obo:GAZ_00000297,rdfs:label,La Industria)-rdf(wd:Q8165015,rdfs:label,La Industria),downcase)									
